"","AMSMEN","AVENA","BRADIS","BRIMIN","BRODIA","BROHOR","BROMAD","CALCIL","CARDUUS","CASATT","CYNECH","DAUCAR","DAUPUS","DICCAP","DICVOL","ELYGLA","EROBOT","EUPSPA","FILGAL","GALIUM","GERSP","HORSP","HYPGLA","LAM","LINUM","LOLMUL","LOTUS","LUPBIC","MEDPOL","MICCAL","NASPUL","NAVLEU","ODOHAR","PETDUB","PHAAQU","PLALAN","PLANOT","RANOCC","SANBIP","SIDHAR","SILGAL","TAECAP","TRIHIR","TRIIXI","TRISP","VICIA","VULMYU","ZIGFRE"
"L121N",0,0,0,0,2.5,20,6.25,0,1.5,0,2.5,0,0,0,0,0,2.5,0,0,2.5,2.5,12.5,0,0,0,23.75,0,1.25,1.25,0,0,0,0,0,0,0,0,0,0,0,0,2.5,15,0,0,1.25,2.5,0
"P111",0,0.25,10,0,1.25,3.75,0,0,0,0,0,0,0,0,0,0,31.25,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,18.75,31.25,0,0,0,0,0
"P112",0,12.5,41.25,0,0,5,0,0,0,0,0,0,0,1.5,0.25,0,18.75,0,0,1.25,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0
"P113",0,43.75,0,1.25,0,6.25,0,0,0,0,0,0,0,0,0,0,12.5,0,2.5,3.75,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,15,0,0,0,0,1.25
"P114",0,0,0,2.5,0,13.75,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,10,0,0,0,11.25,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,35,10,0,0.25,0,0,0
"P121",0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,1.25,0,11.25,0,0,0,0,5,4,0,0,6.25,0,0,7.5,1.25,0,0,0,0,0,0,0,0,0,0,0,22.5,18.75,0,0.25,0,0,0
"P131",0,23.75,0,0.25,0,18.75,0,0,0,0,0,0,0,1.25,0,0,7.5,0,0,1.25,0,2.5,5,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,20,18.75,0,0,0,0,0
"P221",0,21.25,0,0,6.25,20,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,7.5,0,0,2.5,0,0
"SC12",0,0,41.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,11.25,0,0.25,0.25,0,0,6.75,0,2.75,2.5,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,0,0,11.25,13.75,0,0,0,0,0
"SC14",0,8.75,0,1.25,0,15,0,0,0,0,0,0,0,0,0,0,11.25,0,0,1.25,0,7.5,5,1.25,6.25,5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,10,0,2.5,0,0,0
"SH111",0,5.5,33.75,0,2.5,4.75,0.25,0,0,0,0,0,0,0.5,0,0,26.25,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"SH121",0,36.25,0,0,0,5,0,0,0,0,0.25,0,0,0,0,0,1.5,0,0,0.5,0,12.5,0,0,0,38.75,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,1.25,3.75,0,0,0,0,0
"SH131",7.5,6.25,8.75,0,8,32.5,0,0,5.25,0,0,0,8.75,0.5,0,0,2.5,0,0,1.25,0,2.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7.5,0,0,0,0,0
"SH141",0,31.25,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,5,0,0,0,0,0
"USC14",0,0,0,0,0,20,0,0,0,0,0,0,0,1.25,0,0,13.75,0,0,0,0,0,3.75,0,6.25,6.25,0,0,1.25,0,0,3.75,0,0,0,0,0,0,0,0,0,30,12.5,0,0,0,1.25,0
